Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Aux Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.001220544,0.69392043,2.1395545,0.21395545,18.203968,4.1892023,-2.008802,24.81831,-0.001552404,0.0006040446,-0.00014943801,-0.0033552432,-0.004403955,0.0004718379,-0.0032894323,-0.0055559943,-2.0154355,0.3690581,-0.90994084,-3.0687735,3.6901056e-05,0.0008024857,0.0013919078,-0.0009762689,-0.00010243468,0.0003003031,0.0006306752,-0.0008820796,0.034844477,0.7712572,-8.667978264412003,-8.61836817939179,-7.923022720076527,1000,12000,0,92.8220061029997,0,24.420078385000124,117.24208448799982,133.72188518999792,0
0.06568256,0.8889162,0.64681065,0.06468107,0.2325819,0.0904188,3.1305223,6.690321,-5.19974,2.9015384,-0.33499599,-15.522337,-3.164881,2.798106,0.43327296,-13.961767,-2.0018027,0.39009568,-0.7441336,-6.451837,0.04413998,0.15305145,0.38396922,-0.3769054,-0.16016659,0.01729525,-0.13249022,-0.21255526,0.011166138,0.77054214,-7.931989606627201,-7.141712305580772,-7.894546529293544,2000,16000,0,92.28623678299937,16.534870663999754,8.400438359999498,117.22154580699862,250.75643109999783,1
0.0581945,0.81522983,0.49393082,0.049393084,0.50333256,0.1538804,6.0016804,12.353542,-8.372623,5.840639,0.06357958,-25.56981,-6.1686473,5.620406,1.9614476,-22.912601,-1.8305225,0.64418,0.46677166,-4.78667,0.10913774,0.29817003,0.8337797,-0.7789194,-0.1833214,0.04193087,-0.114663064,-0.30097306,0.024074992,0.7618982,-7.363604253005174,-7.396151033623269,-7.589505158425004,3000,20000,0,92.90020293500038,16.37248758900023,8.291001669000252,117.56369219300086,368.16086603099666,2
0.036344577,0.81296796,0.586505,0.0586505,0.7705757,0.11680033,5.793614,9.708042,-8.241054,9.202577,1.7035568,-49.347725,-5.8047204,8.794191,3.6912053,-48.439793,-1.6787297,0.86519647,1.2060002,-5.7454433,0.1306385,0.4074772,1.088538,-1.03656,-0.2047983,0.055491216,-0.112151295,-0.4175721,0.092044376,0.7176009,-7.089367703129407,-6.9748843326939705,-7.4477019732531415,4000,24000,0,91.7506972479996,16.21302548300082,8.33207371500248,116.2957964460029,484.5701077120002,3
0.13872175,1.0131222,1.2182462,0.12182462,0.91767967,0.19293627,7.2776246,8.387218,-9.806248,12.364756,4.232197,-51.237434,-7.564569,11.952866,5.528217,-47.57172,-1.6315576,0.9070925,1.9513497,-5.8341355,0.17085937,0.40132195,1.0853465,-1.0435966,-0.20523016,0.061422013,-0.10724742,-0.44677827,0.09120075,0.7450817,-6.854993049725252,-6.919310844201665,-7.0350606093566626,5000,28000,0,92.55279042999973,16.295374732999335,8.229664670999227,117.0778298339983,601.6934544819987,4
0.13019381,0.8331342,11.517255,1.1517255,1.0918028,0.2208721,4.4956675,15.182837,-6.8246956,12.157917,6.5025954,-49.033825,-4.272865,11.3402,8.102952,-41.863678,-1.6328405,0.9580133,2.4443617,-4.8415303,0.17508233,0.41873518,1.1975929,-1.2345483,-0.21686912,0.07043275,-0.087074995,-0.48305294,0.20096745,0.71182495,-6.751976489725377,-6.247417258165157,-7.364875097262173,6000,32000,0,94.16473872900042,16.355849157999728,8.473205561001123,118.99379344800127,721.1320367760027,5
0.39962152,0.8091178,12.634413,1.2634413,1.1670369,0.1174868,2.8164556,7.983924,-5.226315,12.657314,8.626188,-71.188225,-2.9228446,12.083649,10.231805,-68.41085,-1.5965099,0.91028976,2.1548305,-5.398859,0.20910695,0.40642503,1.2540268,-1.106495,-0.2145349,0.0681342,-0.07694523,-0.47282216,0.26750228,0.7299488,-6.733376006501243,-6.521431130848472,-6.641608422485885,7000,36000,0,94.18002156700004,16.796604000000116,8.638505157996406,119.61513072499656,840.6368826829976,6
0.08493286,0.71953154,22.142738,2.214274,1.3510768,0.18475771,3.1609614,-0.34057295,-5.5676403,14.127546,10.528935,-73.35394,-2.9501765,13.385786,11.928351,-68.88761,-1.5356846,1.041795,2.5317135,-5.4516015,0.2206784,0.4509346,1.3007625,-1.1914526,-0.2267856,0.07615462,-0.07213836,-0.47384644,0.3445965,0.7406843,-6.751801069915388,-6.373261200041229,-6.700406582573537,8000,40000,0,94.50124584100013,16.686676583999542,8.68338143499841,119.87130385999808,960.5759582439969,7
0.034949698,0.69549483,6.851024,0.6851024,1.2552712,0.31550726,0.74527925,4.9522853,-3.1687453,14.644053,11.859013,-65.159096,-1.0872515,14.091901,13.23499,-63.856743,-1.5351628,1.0214418,3.2475553,-5.4639993,0.20586035,0.44407812,1.2800682,-1.1998676,-0.22900333,0.07690354,-0.052179493,-0.4992483,0.17060505,0.71713924,-6.739975444692073,-5.8452616749595006,-6.852436541763495,9000,44000,0,93.61095313199985,16.768959861999974,8.635836720997759,119.01574971499758,1079.5038431569928,8
0.3674301,0.7021887,17.63576,1.7635759,1.3638072,0.2767812,0.11060653,5.767766,-2.6050606,16.066372,12.194479,-78.002075,-0.24394989,15.53669,14.07914,-73.45386,-1.5585917,1.0380074,2.811739,-6.359839,0.23149401,0.4327217,1.3095977,-1.1878392,-0.23060846,0.07009592,-0.035343528,-0.50093585,0.37197757,0.7502859,-6.366649381884475,-6.892356400075689,-7.081680237168472,10000,48000,0,94.00783967900043,16.64993419700022,8.64765103300033,119.30542490900098,1198.9085600229955,9
